"House Price Index by region; existing own homes; 2010 = 100"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Gelderland (PV)";"2015 4th quarter";"86.0";"0.3";"2.5";"5514";"0.6";"0.9"
"Gelderland (PV)";"2015";"85.2";"2.0";"2.0";"19088";"15.8";"15.8"
"Gelderland (PV)";"2016 1st quarter";"86.8";"1.0";"2.6";"4559";"-17.3";"21.3"
"Gelderland (PV)";"2016 2nd quarter";"87.1";"0.3";"3.0";"5490";"20.4";"26.8"
"Gelderland (PV)";"2016 3rd quarter";"89.2";"2.4";"4.0";"6839";"24.6";"24.7"
"Gelderland (PV)";"2016 4th quarter";"89.9";"0.8";"4.6";"7022";"2.7";"27.3"
"Gelderland (PV)";"2016";"88.3";"3.5";"3.5";"23910";"25.3";"25.3"
"Gelderland (PV)";"2017 1st quarter";"91.5";"1.8";"5.3";"6534";"-7.0";"43.3"
"Utrecht (PV)";"2010";"100.0";"-2.3";"-2.3";"10273";"1.6";"1.6"
"Utrecht (PV)";"2011 1st quarter";"98.3";"-0.5";"-2.7";"2335";"-15.6";"7.2"
"Utrecht (PV)";"2011 2nd quarter";"98.4";"0.1";"-1.3";"2378";"1.8";"-7.4"
"Utrecht (PV)";"2011 3rd quarter";"97.4";"-1.1";"-3.0";"2643";"11.1";"-4.2"
"Utrecht (PV)";"2011 4th quarter";"95.8";"-1.6";"-3.0";"2622";"-0.8";"-5.2"
"Utrecht (PV)";"2011";"97.5";"-2.5";"-2.5";"9978";"-2.9";"-2.9"
"Utrecht (PV)";"2012 1st quarter";"95.1";"-0.7";"-3.2";"1983";"-24.4";"-15.1"
"Utrecht (PV)";"2012 2nd quarter";"93.1";"-2.2";"-5.5";"2831";"42.8";"19.1"
"Utrecht (PV)";"2012 3rd quarter";"88.1";"-5.3";"-9.5";"1750";"-38.2";"-33.8"
"Utrecht (PV)";"2012 4th quarter";"88.1";"0.0";"-8.1";"2940";"68.0";"12.1"
"Utrecht (PV)";"2012";"91.1";"-6.6";"-6.6";"9504";"-4.8";"-4.8"
"Utrecht (PV)";"2013 1st quarter";"86.2";"-2.2";"-9.5";"1790";"-39.1";"-9.7"
"Utrecht (PV)";"2013 2nd quarter";"84.9";"-1.5";"-8.8";"1681";"-6.1";"-40.6"
"Utrecht (PV)";"2013 3rd quarter";"84.7";"-0.2";"-3.8";"2336";"39.0";"33.5"
"Utrecht (PV)";"2013 4th quarter";"84.6";"-0.1";"-3.9";"2835";"21.4";"-3.6"
"Utrecht (PV)";"2013";"85.1";"-6.6";"-6.6";"8642";"-9.1";"-9.1"
